PC,PLAATS,GEMEENTE,PROVINCIE
1000,Amsterdam,Amsterdam,Noord Holland
1001,Amsterdam,Amsterdam,Noord Holland
1002,Amsterdam,Amsterdam,Noord Holland
1003,Amsterdam,Amsterdam,Noord Holland
1005,Amsterdam,Amsterdam,Noord Holland
1006,Amsterdam,Amsterdam,Noord Holland
1007,Amsterdam,Amsterdam,Noord Holland
1008,Amsterdam,Amsterdam,Noord Holland
1009,Amsterdam,Amsterdam,Noord Holland
1011,Amsterdam,Amsterdam,Noord Holland
1012,Amsterdam,Amsterdam,Noord Holland
1013,Amsterdam,Amsterdam,Noord Holland
1014,Amsterdam,Amsterdam,Noord Holland
1015,Amsterdam,Amsterdam,Noord Holland
1016,Amsterdam,Amsterdam,Noord Holland
1017,Amsterdam,Amsterdam,Noord Holland
1018,Amsterdam,Amsterdam,Noord Holland
1019,Amsterdam,Amsterdam,Noord Holland
1020,Amsterdam,Amsterdam,Noord Holland
1021,Amsterdam,Amsterdam,Noord Holland
1022,Amsterdam,Amsterdam,Noord Holland
1023,Amsterdam,Amsterdam,Noord Holland
1024,Amsterdam,Amsterdam,Noord Holland
1025,Amsterdam,Amsterdam,Noord Holland
1026,Amsterdam,Amsterdam,Noord Holland
1027,Amsterdam,Amsterdam,Noord Holland
1028,Amsterdam,Amsterdam,Noord Holland
1030,Amsterdam,Amsterdam,Noord Holland
1031,Amsterdam,Amsterdam,Noord Holland
1032,Amsterdam,Amsterdam,Noord Holland
1033,Amsterdam,Amsterdam,Noord Holland
1034,Amsterdam,Amsterdam,Noord Holland
1035,Amsterdam,Amsterdam,Noord Holland
1036,Amsterdam,Amsterdam,Noord Holland
1037,Amsterdam,Amsterdam,Noord Holland
1040,Amsterdam,Amsterdam,Noord Holland
1041,Amsterdam,Amsterdam,Noord Holland
1042,Amsterdam,Amsterdam,Noord Holland
1043,Amsterdam,Amsterdam,Noord Holland
1044,Amsterdam,Amsterdam,Noord Holland
1045,Amsterdam,Amsterdam,Noord Holland
1046,Amsterdam,Amsterdam,Noord Holland
1047,Amsterdam,Amsterdam,Noord Holland
1051,Amsterdam,Amsterdam,Noord Holland
1052,Amsterdam,Amsterdam,Noord Holland
1053,Amsterdam,Amsterdam,Noord Holland
1054,Amsterdam,Amsterdam,Noord Holland
1055,Amsterdam,Amsterdam,Noord Holland
1056,Amsterdam,Amsterdam,Noord Holland
1057,Amsterdam,Amsterdam,Noord Holland
1058,Amsterdam,Amsterdam,Noord Holland
1059,Amsterdam,Amsterdam,Noord Holland
1060,Amsterdam,Amsterdam,Noord Holland
1061,Amsterdam,Amsterdam,Noord Holland
1062,Amsterdam,Amsterdam,Noord Holland
1063,Amsterdam,Amsterdam,Noord Holland
1064,Amsterdam,Amsterdam,Noord Holland
1065,Amsterdam,Amsterdam,Noord Holland
1066,Amsterdam,Amsterdam,Noord Holland
1067,Amsterdam,Amsterdam,Noord Holland
1068,Amsterdam,Amsterdam,Noord Holland
1069,Amsterdam,Amsterdam,Noord Holland
1070,Amsterdam,Amsterdam,Noord Holland
1071,Amsterdam,Amsterdam,Noord Holland
1072,Amsterdam,Amsterdam,Noord Holland
1073,Amsterdam,Amsterdam,Noord Holland
1074,Amsterdam,Amsterdam,Noord Holland
1075,Amsterdam,Amsterdam,Noord Holland
1076,Amsterdam,Amsterdam,Noord Holland
1077,Amsterdam,Amsterdam,Noord Holland
1078,Amsterdam,Amsterdam,Noord Holland
1079,Amsterdam,Amsterdam,Noord Holland
1080,Amsterdam,Amsterdam,Noord Holland
1081,Amsterdam,Amsterdam,Noord Holland
1082,Amsterdam,Amsterdam,Noord Holland
1083,Amsterdam,Amsterdam,Noord Holland
1086,Amsterdam,Amsterdam,Noord Holland
1087,Amsterdam,Amsterdam,Noord Holland
1090,Amsterdam,Amsterdam,Noord Holland
1091,Amsterdam,Amsterdam,Noord Holland
1092,Amsterdam,Amsterdam,Noord Holland
1093,Amsterdam,Amsterdam,Noord Holland
1094,Amsterdam,Amsterdam,Noord Holland
1095,Amsterdam,Amsterdam,Noord Holland
1096,Amsterdam,Amsterdam,Noord Holland
1097,Amsterdam,Amsterdam,Noord Holland
1098,Amsterdam,Amsterdam,Noord Holland
1099,Amsterdam,Amsterdam,Noord Holland
1100,Amsterdam Zuidoost,Amsterdam,Noord Holland
1101,Amsterdam Zuidoost,Amsterdam,Noord Holland
1102,Amsterdam Zuidoost,Amsterdam,Noord Holland
1103,Amsterdam Zuidoost,Amsterdam,Noord Holland
1104,Amsterdam Zuidoost,Amsterdam,Noord Holland
1105,Amsterdam Zuidoost,Amsterdam,Noord Holland
1106,Amsterdam Zuidoost,Amsterdam,Noord Holland
1107,Amsterdam Zuidoost,Amsterdam,Noord Holland
1108,Amsterdam Zuidoost,Amsterdam,Noord Holland
1109,Amsterdam Zuidoost,Amsterdam,Noord Holland
1110,Diemen,Diemen,Noord Holland
1111,Diemen,Diemen,Noord Holland
1112,Diemen,Diemen,Noord Holland
1113,Diemen,Diemen,Noord Holland
1115,Duivendrecht,Ouder Amstel,Noord Holland
1117,Schiphol,Haarlemmermeer,Noord Holland
1118,Luchthaven Schiphol,Haarlemmermeer,Noord Holland
1119,Schiphol Rijk,Haarlemmermeer,Noord Holland
1120,Landsmeer,Landsmeer,Noord Holland
1121,Landsmeer,Landsmeer,Noord Holland
1127,Den Ilp,Landsmeer,Noord Holland
1130,Volendam,Edam Volendam,Noord Holland
1131,Volendam,Edam Volendam,Noord Holland
1132,Volendam,Edam Volendam,Noord Holland
1135,Edam,Edam Volendam,Noord Holland
1140,Monnickendam,Waterland,Noord Holland
1141,Monnickendam,Waterland,Noord Holland
1145,Katwoude,Waterland,Noord Holland
1150,Broek in Waterland,Waterland,Noord Holland
1151,Broek in Waterland,Waterland,Noord Holland
1153,Zuiderwoude,Waterland,Noord Holland
1154,Uitdam,Waterland,Noord Holland
1156,Marken,Waterland,Noord Holland
1160,Zwanenburg,Haarlemmermeer,Noord Holland
1161,Zwanenburg,Haarlemmermeer,Noord Holland
1165,Halfweg (NH),Haarlemmerliede en Spaarnwoude,Noord Holland
1170,Badhoevedorp,Haarlemmermeer,Noord Holland
1171,Badhoevedorp,Haarlemmermeer,Noord Holland
1175,Lijnden,Haarlemmermeer,Noord Holland
1180,Amstelveen,Amstelveen,Noord Holland
1181,Amstelveen,Amstelveen,Noord Holland
1182,Amstelveen,Amstelveen,Noord Holland
1183,Amstelveen,Amstelveen,Noord Holland
1184,Amstelveen,Amstelveen,Noord Holland
1185,Amstelveen,Amstelveen,Noord Holland
1186,Amstelveen,Amstelveen,Noord Holland
1187,Amstelveen,Amstelveen,Noord Holland
1188,Amstelveen,Amstelveen,Noord Holland
1189,Amstelveen,Amstelveen,Noord Holland
1190,Ouderkerk Amstel,Ouder Amstel,Noord Holland
1191,Ouderkerk Amstel,Ouder Amstel,Noord Holland
1200,Hilversum,Hilversum,Noord Holland
1201,Hilversum,Hilversum,Noord Holland
1202,Hilversum,Hilversum,Noord Holland
1211,Hilversum,Hilversum,Noord Holland
1212,Hilversum,Hilversum,Noord Holland
1213,Hilversum,Hilversum,Noord Holland
1214,Hilversum,Hilversum,Noord Holland
1215,Hilversum,Hilversum,Noord Holland
1216,Hilversum,Hilversum,Noord Holland
1217,Hilversum,Hilversum,Noord Holland
1218,Hilversum,Hilversum,Noord Holland
1221,Hilversum,Hilversum,Noord Holland
1222,Hilversum,Hilversum,Noord Holland
1223,Hilversum,Hilversum,Noord Holland
1230,Loosdrecht,Wijdemeren,Noord Holland
1231,Loosdrecht,Wijdemeren,Noord Holland
1240,Kortenhoef,Wijdemeren,Noord Holland
1241,Kortenhoef,Wijdemeren,Noord Holland
1243,s Graveland,Wijdemeren,Noord Holland
1244,Ankeveen,Wijdemeren,Noord Holland
1250,Laren (NH),Laren,Noord Holland
1251,Laren (NH),Laren,Noord Holland
1252,Laren (NH),Laren,Noord Holland
1260,Blaricum,Blaricum,Noord Holland
1261,Blaricum,Blaricum,Noord Holland
1270,Huizen,Huizen,Noord Holland
1271,Huizen,Huizen,Noord Holland
1272,Huizen,Huizen,Noord Holland
1273,Huizen,Huizen,Noord Holland
1274,Huizen,Huizen,Noord Holland
1275,Huizen,Huizen,Noord Holland
1276,Huizen,Huizen,Noord Holland
1277,Huizen,Huizen,Noord Holland
1300,Almere,Almere,Flevoland
1301,Almere,Almere,Flevoland
1302,Almere,Almere,Flevoland
1303,Almere,Almere,Flevoland
1305,Almere,Almere,Flevoland
1309,Almere,Almere,Flevoland
1311,Almere,Almere,Flevoland
1312,Almere,Almere,Flevoland
1313,Almere,Almere,Flevoland
1314,Almere,Almere,Flevoland
1315,Almere,Almere,Flevoland
1316,Almere,Almere,Flevoland
1317,Almere,Almere,Flevoland
1318,Almere,Almere,Flevoland
1319,Almere,Almere,Flevoland
1320,Almere,Almere,Flevoland
1321,Almere,Almere,Flevoland
1322,Almere,Almere,Flevoland
1323,Almere,Almere,Flevoland
1324,Almere,Almere,Flevoland
1325,Almere,Almere,Flevoland
1326,Almere,Almere,Flevoland
1327,Almere,Almere,Flevoland
1328,Almere,Almere,Flevoland
1329,Almere,Almere,Flevoland
1331,Almere,Almere,Flevoland
1332,Almere,Almere,Flevoland
1333,Almere,Almere,Flevoland
1334,Almere,Almere,Flevoland
1335,Almere,Almere,Flevoland
1336,Almere,Almere,Flevoland
1338,Almere,Almere,Flevoland
1339,Almere,Almere,Flevoland
1341,Almere,Almere,Flevoland
1343,Almere,Almere,Flevoland
1349,Almere,Almere,Flevoland
1351,Almere,Almere,Flevoland
1352,Almere,Almere,Flevoland
1353,Almere,Almere,Flevoland
1354,Almere,Almere,Flevoland
1355,Almere,Almere,Flevoland
1356,Almere,Almere,Flevoland
1357,Almere,Almere,Flevoland
1358,Almere,Almere,Flevoland
1359,Almere,Almere,Flevoland
1361,Almere,Almere,Flevoland
1362,Almere,Almere,Flevoland
1380,Weesp,Weesp,Noord Holland
1381,Weesp,Weesp,Noord Holland
1382,Weesp,Weesp,Noord Holland
1383,Weesp,Weesp,Noord Holland
1390,Abcoude,Abcoude,Utrecht
1391,Abcoude,Abcoude,Utrecht
1393,Nigtevecht,Loenen,Utrecht
1394,Nederhorst den Berg,Wijdemeren,Noord Holland
1396,Baambrugge,Abcoude,Utrecht
1398,Muiden,Muiden,Noord Holland
1399,Muiderberg,Muiden,Noord Holland
1400,Bussum,Bussum,Noord Holland
1401,Bussum,Bussum,Noord Holland
1402,Bussum,Bussum,Noord Holland
1403,Bussum,Bussum,Noord Holland
1404,Bussum,Bussum,Noord Holland
1405,Bussum,Bussum,Noord Holland
1406,Bussum,Bussum,Noord Holland
1410,Naarden,Naarden,Noord Holland
1411,Naarden,Naarden,Noord Holland
1412,Naarden,Naarden,Noord Holland
1420,Uithoorn,Uithoorn,Noord Holland
1421,Uithoorn,Uithoorn,Noord Holland
1422,Uithoorn,Uithoorn,Noord Holland
1423,Uithoorn,Uithoorn,Noord Holland
1424,De Kwakel,Uithoorn,Noord Holland
1426,De Hoef,De Ronde Venen,Utrecht
1427,Amstelhoek,De Ronde Venen,Utrecht
1428,Vrouwenakker,Liemeer,Zuid Holland
1430,Aalsmeer,Aalsmeer,Noord Holland
1431,Aalsmeer,Aalsmeer,Noord Holland
1432,Aalsmeer,Aalsmeer,Noord Holland
1433,Kudelstaart,Aalsmeer,Noord Holland
1435,Rijsenhout,Haarlemmermeer,Noord Holland
1436,Aalsmeerderbrug,Haarlemmermeer,Noord Holland
1437,Rozenburg (NH),Haarlemmermeer,Noord Holland
1438,Oude Meer,Haarlemmermeer,Noord Holland
1440,Purmerend,Purmerend,Noord Holland
1441,Purmerend,Purmerend,Noord Holland
1442,Purmerend,Purmerend,Noord Holland
1443,Purmerend,Purmerend,Noord Holland
1444,Purmerend,Purmerend,Noord Holland
1445,Purmerend,Purmerend,Noord Holland
1446,Purmerend,Purmerend,Noord Holland
1447,Purmerend,Purmerend,Noord Holland
1448,Purmerend,Purmerend,Noord Holland
1451,Purmerland,Landsmeer,Noord Holland
1452,Ilpendam,Waterland,Noord Holland
1454,Watergang,Waterland,Noord Holland
1456,Wijdewormer,Wormerland,Noord Holland
1458,Spijkerboor (NH),Wormerland,Noord Holland
1461,Zuidoostbeemster,Beemster,Noord Holland
1462,Middenbeemster,Beemster,Noord Holland
1463,Noordbeemster,Beemster,Noord Holland
1464,Westbeemster,Beemster,Noord Holland
1471,Kwadijk,Zeevang,Noord Holland
1472,Middelie,Zeevang,Noord Holland
1473,Warder,Zeevang,Noord Holland
1474,Oosthuizen,Zeevang,Noord Holland
1475,Beets (NH),Zeevang,Noord Holland
1476,Schardam,Zeevang,Noord Holland
1477,Hobrede,Zeevang,Noord Holland
1481,Purmer,Edam Volendam,Noord Holland
1482,Purmer,Waterland,Noord Holland
1483,De Rijp,Graft De Rijp,Noord Holland
1484,Graft,Graft De Rijp,Noord Holland
1485,Noordeinde (NH),Graft De Rijp,Noord Holland
1486,West Graftdijk,Graft De Rijp,Noord Holland
1487,Oost Graftdijk,Graft De Rijp,Noord Holland
1488,Starnmeer,Graft De Rijp,Noord Holland
1489,De Woude,Castricum,Noord Holland
1500,Zaandam,Zaanstad,Noord Holland
1501,Zaandam,Zaanstad,Noord Holland
